model_type,model_name,num_features,features,RMSE,avg_loss,inference_time,score,estimators,max_depth,alpha,min_sample_split
ensemble,random_forest,2,cpu_cores+ disk_free_gb,141.46280854966295,20011.726202758593,3.219648250523205e-05,20022.77377006212,200.0,10.0,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,150.65437498033594,22696.740700715673,3.013211866782905e-05,22707.231138487998,200.0,10.0,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,140.5944648619168,19766.80354980876,2.898796689011629e-05,19781.533818916396,200.0,10.0,,10.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,159.804226366871,25537.390764714153,3.608614809599965e-05,25539.56483811956,200.0,,,2.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,156.84674763576865,24600.9022439185,3.226308526619565e-05,24607.29651748462,200.0,,,5.0
ensemble,random_forest,2,cpu_cores+ disk_free_gb,146.88511639144846,21575.237417329365,3.0061011372307534e-05,21586.92786041809,200.0,,,10.0
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,162.21859058187707,26314.871130370655,2.083025480571546e-06,26768.627198999322,100.0,3.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,172.9637781315576,29916.46854554268,3.929884649320492e-06,30141.012471953745,100.0,5.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,171.40884610480612,29380.99252298111,5.295080372839965e-06,29540.466076487173,100.0,10.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,178.50060798903783,31862.46705245616,4.034132449089596e-06,32078.4893568186,500.0,3.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,181.21901773103977,32840.33238740291,5.27834924448196e-06,32996.94522563422,500.0,5.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,173.54754788449085,30118.75137671965,8.42444488072363e-06,30207.334808591604,500.0,10.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,195.31176918033174,38146.68718035118,5.712393324384805e-06,38283.598466810574,1000.0,3.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,166.9032919461101,27856.70886244846,9.60495468736821e-06,27932.965086186843,1000.0,5.0,,
xgboost,xgboost_regressor,3,cpu_cores+ disk_free_gb+ ram_available_bytes,173.8581559273876,30226.65838247182,8.729466220788789e-06,30310.9862655364,1000.0,10.0,,
linear_regression,ridge_regression,3,cpu_cores+ disk_free_gb+ ram_available_bytes,203.27587213210222,41321.08019106677,3.4684916096016784e-07,44162.85675837107,,,0.1,
linear_regression,ridge_regression,3,cpu_cores+ disk_free_gb+ ram_available_bytes,202.07750963201812,40835.31989907838,3.2464824063896974e-07,43874.74153061636,,,1.0,
