run_id,cpu_vendor,cpu_cores,cpu_threads,cpu_frequency_khz,cpu_architecture,ram_total_bytes,ram_available_bytes,ram_type,gpu_count,gpu_0_name,gpu_0_vendor,gpu_0_vram_gb,gpu_1_name,gpu_1_vendor,gpu_1_vram_gb,disk_total_gb,disk_free_gb,disk_filesystem,host_os_name,is_docker_used,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,shared_critic,learning_rate_schedule,beta_schedule,epsilon_schedule,checkpoint_interval,keep_checkpoints,even_checkpoints,normalize,hidden_units,num_layers,vis_encode_type,memory,goal_conditioning_type,deterministic,extrinsic_gamma,extrinsic_strength,init_path,threaded,max_steps,time_horizon,summary_freq,self_play,behavioral_cloning,time_start,time_end,total_steps,total_duration
3DBall_ppo_1767921414,Intel,10,16,2400000,x86,34048757760,19495792640,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.011,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767921419,1767921982.0,1264799,563.0
3DBall_ppo_1767922795,Intel,10,16,2400000,x86,34048757760,18954407936,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,117.006,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767922800,1767923621.0,1267280,821.0
3DBall_ppo_1767924224,Intel,10,16,2400000,x86,34048757760,20031479808,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.985,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767924230,1767925047.0,1269058,817.0
3DBall_ppo_1767925651,Intel,10,16,2400000,x86,34048757760,19899342848,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.985,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767925657,1767926475.0,1263410,818.0
3DBall_ppo_1767927079,Intel,10,16,2400000,x86,34048757760,19825401856,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.972,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767927084,1767927898.0,1264659,814.0
3DBall_ppo_1767928502,Intel,10,16,2400000,x86,34048757760,19913977856,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.966,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767928507,1767929330.0,1266799,823.0
3DBall_ppo_1767929933,Intel,10,16,2400000,x86,34048757760,19854274560,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.499,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767929939,1767930754.0,1265641,815.0
3DBall_ppo_1767931357,Intel,10,16,2400000,x86,34048757760,19627556864,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.499,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767931363,1767932178.0,1265787,815.0
3DBall_ppo_1767932781,Intel,10,16,2400000,x86,34048757760,20062998528,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.491,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767932787,1767933606.0,1268672,819.0
3DBall_ppo_1767934209,Intel,10,16,2400000,x86,34048757760,19947167744,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.482,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767934214,1767935031.0,1263669,817.0
3DBall_ppo_1767935635,Intel,10,16,2400000,x86,34048757760,19838230528,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.481,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767935640,1767936461.0,1268500,821.0
3DBall_ppo_1767937064,Intel,10,16,2400000,x86,34048757760,19688026112,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.474,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767937070,1767937886.0,1265210,816.0
3DBall_ppo_1767938490,Intel,10,16,2400000,x86,34048757760,19543035904,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.467,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767938495,1767939313.0,1264200,818.0
3DBall_ppo_1767939917,Intel,10,16,2400000,x86,34048757760,19568300032,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.459,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767939922,1767940737.0,1261793,815.0
3DBall_ppo_1767941340,Intel,10,16,2400000,x86,34048757760,19492564992,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.452,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767941346,1767942167.0,1266054,821.0
3DBall_ppo_1767942770,Intel,10,16,2400000,x86,34048757760,19324018688,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.453,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767942775,1767943592.0,1265948,817.0
3DBall_ppo_1767944195,Intel,10,16,2400000,x86,34048757760,19567689728,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.447,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767944201,1767945005.0,1268835,804.0
3DBall_ppo_1767945608,Intel,10,16,2400000,x86,34048757760,19475480576,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.44,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767945614,1767946428.0,1266003,814.0
3DBall_ppo_1767947031,Intel,10,16,2400000,x86,34048757760,19388952576,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.432,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767947037,1767947854.0,1266998,817.0
3DBall_ppo_1767948460,Intel,10,16,2400000,x86,34048757760,19577425920,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.175,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767948469,1767949282.0,1263903,813.0
3DBall_ppo_1767949885,Intel,10,16,2400000,x86,34048757760,19294679040,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.171,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767949891,1767950704.0,1266488,813.0
3DBall_ppo_1767951307,Intel,10,16,2400000,x86,34048757760,19162742784,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.163,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767951313,1767952128.0,1266346,815.0
3DBall_ppo_1767952731,Intel,10,16,2400000,x86,34048757760,19028365312,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.158,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767952737,1767953553.0,1268376,816.0
3DBall_ppo_1767954156,Intel,10,16,2400000,x86,34048757760,18812014592,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.162,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767954162,1767954976.0,1264819,814.0
3DBall_ppo_1767955579,Intel,10,16,2400000,x86,34048757760,18949791744,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.157,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767955585,1767956399.0,1265331,814.0
3DBall_ppo_1767957003,Intel,10,16,2400000,x86,34048757760,19389448192,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,116.157,NTFS,win32,False,ppo,64,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1767957008,1767957822.0,1264574,814.0
3DBall_ppo_1768175019,Intel,10,16,2400000,x86,34048757760,20674121728,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,108.967,NTFS,win32,False,ppo,32,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1768175029,1768175625.0,1264874,596.0
3DBall_ppo_1768175777,Intel,10,16,2400000,x86,34048757760,21186838528,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,108.98,NTFS,win32,False,ppo,32,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1768175782,1768176415.0,1267663,633.0
3DBall_ppo_1768176819,Intel,10,16,2400000,x86,34048757760,19675160576,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,109.209,NTFS,win32,False,ppo,32,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1768176824,1768177430.0,1263924,606.0
3DBall_ppo_1768177827,Intel,10,16,2400000,x86,34048757760,20094627840,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,109.187,NTFS,win32,False,ppo,32,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1768177832,1768178862.0,1268160,1030.0
3DBall_ppo_1768179165,Intel,10,16,2400000,x86,34048757760,19710201856,DDR5,1,NVIDIA GeForce RTX 4060 Laptop GPU,NVIDIA,8.0,,,,1861.994,109.183,NTFS,win32,False,ppo,32,12000,0.0003,0.001,0.2,0.99,3,,linear,,,,5,,True,128,2,simple,,,,0.99,1.0,,,5000000,1000,12000,,,1768179170,1768180193.0,1265659,1023.0
